# omega_cold,sigma8_cold,hubble,ns,omega_baryon
0.29963280,0.89429820,0.60177724,0.99682126,0.04269489
0.38714635,0.76700386,0.63782766,1.00098612,0.05612167
0.33461369,0.65512099,0.63194296,0.92188474,0.05028453
0.36779697,0.76316572,0.71041190,0.96690116,0.05638446
0.28934348,0.78832646,0.73687759,0.98348693,0.04640380
0.36398950,0.67310384,0.79661641,0.95284628,0.04037910
0.23050583,0.88768224,0.65370297,0.92612113,0.05264732
0.39543498,0.67356879,0.60823510,0.98060455,0.05317612
0.31882690,0.89270557,0.60346965,0.93772558,0.04841494
0.37403188,0.73031414,0.71849736,1.00677687,0.04637210
0.29923281,0.87235117,0.73879673,0.94578001,0.04361758
0.23885270,0.83627425,0.78319762,0.98401775,0.05191936
0.33406366,0.87941337,0.78647199,0.92130021,0.04820363
0.34554919,0.88675454,0.62452517,0.93692478,0.04937369
0.33502735,0.66221647,0.62489900,0.92061792,0.04663641
0.24862141,0.82118123,0.68614413,0.99911709,0.04478215
0.35966855,0.89485902,0.64049995,0.94566806,0.04753744
0.36380594,0.69371354,0.73883742,0.99003663,0.04107274
0.34965632,0.76387695,0.73059362,0.94122446,0.05147308
0.27141778,0.67603501,0.63409054,0.96702545,0.05323331
0.30122699,0.84265805,0.75070308,0.92219564,0.05440510
0.30600883,0.89553126,0.72460016,1.00583722,0.04132068
0.25884386,0.70032631,0.78617267,0.99390135,0.04358919
0.31981845,0.85225701,0.66380982,0.96724184,0.04787316
0.29241300,0.67996644,0.66213184,1.00194104,0.05436775
0.34235144,0.80610831,0.68626689,0.95455403,0.05414996
0.26248145,0.69394505,0.65528444,0.92203525,0.05623351
0.25876965,0.67254677,0.72207450,0.94862775,0.05919343
0.39116553,0.72245224,0.63629595,1.00253412,0.05015660
0.32421480,0.65460975,0.74673490,0.94021737,0.04733936
0.35183941,0.78501501,0.66210629,0.92063879,0.04281320
0.34216812,0.70818474,0.62399112,0.99774258,0.05712229
0.29272452,0.88731139,0.79855020,0.99656631,0.04584933
0.39917985,0.83602718,0.72212152,0.92543741,0.05847604
0.26478634,0.68573088,0.66190475,0.96791167,0.05895309
0.29845492,0.74965888,0.75697421,0.93581068,0.05618883
0.38707303,0.82311953,0.76194368,1.00106425,0.05328766
0.37708387,0.78344160,0.79610405,0.94793745,0.05516972
0.38096384,0.77047211,0.65823220,0.94676601,0.04528361
0.29985038,0.75891443,0.74850761,0.99156860,0.05544004
0.31346882,0.78722155,0.63050419,0.92861056,0.04911623
0.25168072,0.89947220,0.61086335,0.93090641,0.05176715
0.38701961,0.70806248,0.79988628,0.99120213,0.04349602
0.29407301,0.73551209,0.74381810,0.95024245,0.04135005
0.37859159,0.79658847,0.61121150,1.00326754,0.04319666
0.38335099,0.66015531,0.75164336,1.00531261,0.04832117
0.38294353,0.85135628,0.63122397,0.93676258,0.05450621
0.36397455,0.79002802,0.61233808,1.00530062,0.04197693
0.23343285,0.79282368,0.77803999,0.94740107,0.04367445
0.26636241,0.71585869,0.68010354,0.98127949,0.05923171
0.33805437,0.70560442,0.60340922,0.95821563,0.05576381
0.39185029,0.65593156,0.77601485,0.99949023,0.04115499
0.23168725,0.65881338,0.64693264,0.99191703,0.05355358
0.31937322,0.76894703,0.72311828,0.92938541,0.04490565
0.31962701,0.72886504,0.78008019,0.96283877,0.04102869
0.38727637,0.69304018,0.63202250,0.96563922,0.05897825
0.37089273,0.74589448,0.66622688,0.92374140,0.05155453
0.25467437,0.72141123,0.60590343,0.92890361,0.04219195
0.29232116,0.65483496,0.68271028,0.94067966,0.05674916
0.35900012,0.74112933,0.79526878,0.98920653,0.05674146
0.29528813,0.74386713,0.65928872,0.94134191,0.04685387
0.27061298,0.68361969,0.73856211,0.95684918,0.05988366
0.32443687,0.66323825,0.67851048,0.99961458,0.04081788
0.36759434,0.66086036,0.71091609,0.95678588,0.05109557
0.33738731,0.83466983,0.75519155,1.00243841,0.05201173
0.34986938,0.74396699,0.72429278,0.92924250,0.04058129
0.28784650,0.81763474,0.65679589,1.00215300,0.04274214
0.30263930,0.77547231,0.74065769,0.96165542,0.04386376
0.25907251,0.65420614,0.76528360,0.96094527,0.05396201
0.32540325,0.84843997,0.69307352,0.96563046,0.04301685
0.26138529,0.68692074,0.61338043,0.98657751,0.04150101
0.28958549,0.77801548,0.75429205,0.97839574,0.04426574
0.33240254,0.74352017,0.70927793,0.92163920,0.05010282
0.25068290,0.71188978,0.68001137,0.98816930,0.04185415
0.28486014,0.73894021,0.69195341,0.99217594,0.05024086
0.37916715,0.80995853,0.72250891,0.95399911,0.04277731
0.36888356,0.79332263,0.67893668,0.96575849,0.04399122
0.25383035,0.65203593,0.74326489,0.98289868,0.05114235
0.26364423,0.72803507,0.78570662,1.00857753,0.05107811
0.37131433,0.66382690,0.78584842,0.99970396,0.04391192
0.32262143,0.80038593,0.61829947,0.98248031,0.05012430
0.34132456,0.71458836,0.71081989,0.99267692,0.04726134
0.29319106,0.69644067,0.61494870,0.94435157,0.05738768
0.34732083,0.68748759,0.70338927,0.99646431,0.04084807
0.27656545,0.83619531,0.64948811,0.94313110,0.05945925
0.27620428,0.70335473,0.74471036,0.95520292,0.05201404
0.39052068,0.89531438,0.66407260,0.94747324,0.04144176
0.37582949,0.83202906,0.72365431,0.97190927,0.05767025
0.26036159,0.69846199,0.78055073,0.96706379,0.04115367
0.30750864,0.68694058,0.78716763,0.93101564,0.04242108
0.23410512,0.78256964,0.61289721,0.99665130,0.04103331
0.26690535,0.68080132,0.74795190,0.97279572,0.05965005
0.39420163,0.87910871,0.71150257,0.98666629,0.05875114
0.35429667,0.85512410,0.74840931,1.00395206,0.05463408
0.39739831,0.85400736,0.66383396,0.94872887,0.04289791
0.34028009,0.67880406,0.66461765,0.99201746,0.04638633
0.28460135,0.85841163,0.66342169,0.98803489,0.05866921
0.32799743,0.84762342,0.63644062,0.98867620,0.04082962
0.34846814,0.82427589,0.78419811,0.95948419,0.04790858
0.38827289,0.76565060,0.63920316,0.92656151,0.04199975
0.27909947,0.77198636,0.68422913,0.97662891,0.04218206
0.32478002,0.83908793,0.68689087,0.98172752,0.05022728
0.31405834,0.68452276,0.75195845,0.98245298,0.04247111
0.38730218,0.87508469,0.68293930,0.93786358,0.05282959
0.24601441,0.72161953,0.62786968,0.94333757,0.05536605
0.39656198,0.86972377,0.74589693,1.00618343,0.05086561
0.38482633,0.84257719,0.71684926,0.95003637,0.05323760
0.29749339,0.89963456,0.64462272,0.95783646,0.05247330
0.31066346,0.87324435,0.74137124,0.98340549,0.04792524
0.24452190,0.71793649,0.61457634,0.99460711,0.05822069
0.35716556,0.66673913,0.65539543,0.93390750,0.04510166
0.31066608,0.70904530,0.69129785,0.92825752,0.04281096
0.29117436,0.85768908,0.60670010,0.92926562,0.04615304
0.38481183,0.70222333,0.78542814,0.99912595,0.04020072
0.24875014,0.82170047,0.77481062,1.00560893,0.04299705
0.27591597,0.69030444,0.70424704,0.98985096,0.05407114
0.37552616,0.65170359,0.69906738,0.96916387,0.04101267
0.30951458,0.89280099,0.67305258,1.00562217,0.05784238
0.36214940,0.73638159,0.67737081,1.00753206,0.04953451
0.38032877,0.88217004,0.79132746,0.98643127,0.04413221
0.33638137,0.84579723,0.73132088,0.92132161,0.04677160
0.29243605,0.83756177,0.66520234,0.94351016,0.05524258
0.27518302,0.84264106,0.77611043,0.95934667,0.05413745
0.33400076,0.80284682,0.71938900,0.95813565,0.04611586
0.39106682,0.84133044,0.75444504,0.95259966,0.05183110
0.27824905,0.87426898,0.67547278,0.96057941,0.04236307
0.32293233,0.65576898,0.66938496,0.92205818,0.05994545
0.36361777,0.71041403,0.75523394,0.92707968,0.05644953
0.23258803,0.83917675,0.71797004,0.99509021,0.04115627
0.28987402,0.82838466,0.75662220,0.95915982,0.05842042
0.26968716,0.79242297,0.70379968,0.93494471,0.04112901
0.34464107,0.68073580,0.65222896,0.94132247,0.04898978
0.23166217,0.68060517,0.65554304,0.94003405,0.04493225
0.27804387,0.68016714,0.67563197,1.00357159,0.04613079
0.31090404,0.75946638,0.66780886,0.93446933,0.05264366
0.32380268,0.75854855,0.71808101,1.00096037,0.05586433
0.35390142,0.80089520,0.75689649,0.92717469,0.04760747
0.26990047,0.88724650,0.71778645,0.98922067,0.04834753
0.25337030,0.71762589,0.60495471,0.92441513,0.05698513
0.25682170,0.72428061,0.61336456,0.92855560,0.05327633
0.30336838,0.66824989,0.63190858,0.94279705,0.05096992
0.36810446,0.77396203,0.75858380,0.92866620,0.05073921
0.31175730,0.65956571,0.65309622,1.00035024,0.04260518
0.29307885,0.80127845,0.70264715,0.97756679,0.05647403
0.31222200,0.66523992,0.68354153,1.00052079,0.04114854
0.39305117,0.74089756,0.66283064,0.98608519,0.04398363
0.30945011,0.80504276,0.78170408,0.92207083,0.05783439
0.28308648,0.72934315,0.68365491,0.98394378,0.05046211
0.35016617,0.76561938,0.71682307,0.99128541,0.04946593
0.25233525,0.84990902,0.67894434,0.93051910,0.04142817
0.37336353,0.71947879,0.69707545,0.97377455,0.05486827
0.28906980,0.79048453,0.71706480,0.93228385,0.04077044
0.32977405,0.83743179,0.60551118,0.96912311,0.05743495
0.31515734,0.71757949,0.74974501,0.98338441,0.05833976
0.26073195,0.70646243,0.77890989,0.98206776,0.04321721
0.23274062,0.67565217,0.71491507,0.97528937,0.04850464
0.37471211,0.81049529,0.65576410,0.96360535,0.05437856
0.30034740,0.82450040,0.71879296,0.98537926,0.04162305
0.29672523,0.82939765,0.70447175,1.00201812,0.05136543
0.38237461,0.71306543,0.61998040,0.93240305,0.04992540
0.36666691,0.68376658,0.70474787,0.97249107,0.04319034
0.33886758,0.88499450,0.76544576,0.97743293,0.05834301
0.38605906,0.89454129,0.68196270,1.00385272,0.04540121
0.27603693,0.65287373,0.70442501,0.95352268,0.04126027
0.23420332,0.89145286,0.77403568,0.93821122,0.04812444
0.25377882,0.75126923,0.63659946,0.98570937,0.05982058
0.36930420,0.82258140,0.77048937,0.96071171,0.04296710
0.26951411,0.80984496,0.75882224,0.93519369,0.05294930
0.25448716,0.65087147,0.71676055,1.00740887,0.05988816
0.24177535,0.88289577,0.76699576,0.94808819,0.04978776
0.26988079,0.66067525,0.60961852,0.94650381,0.04501435
0.24693914,0.87960564,0.75090738,0.97055406,0.05530472
0.30239412,0.81530718,0.65599105,1.00801689,0.05035706
0.35861911,0.68980509,0.73611479,0.99913562,0.05538551
0.31699168,0.82094174,0.73840628,0.97696229,0.04814784
0.39250699,0.75914231,0.67981567,0.99122880,0.05827018
0.28538098,0.72888578,0.78137420,0.99124801,0.05967876
0.38329562,0.79600941,0.71825730,0.94316876,0.04656465
0.36131340,0.72724815,0.70741106,0.99832332,0.05832383
0.25094022,0.85251398,0.67908514,0.98667887,0.04583234
0.34147672,0.83608099,0.63937055,0.93867951,0.04384876
0.35299622,0.86506270,0.63908943,0.99399258,0.04017852
0.32742578,0.84153711,0.68741037,0.92881170,0.04847301
0.32160504,0.71350095,0.67295099,0.96639337,0.04540957
0.39957338,0.69727499,0.64221136,0.97353408,0.04094253
0.37354745,0.73206075,0.69533691,0.92281753,0.04325567
0.32573335,0.77946684,0.61222717,0.97517529,0.05423448
0.39149608,0.69060236,0.61371000,0.92566320,0.04378230
0.30888002,0.88261940,0.79345426,0.96291875,0.04237747
0.35947910,0.67420016,0.79646019,0.92002226,0.05162672
0.35983138,0.67295168,0.78125592,0.93420624,0.05032633
0.34714185,0.67436400,0.61018029,1.00732713,0.04729019
0.39196243,0.80621827,0.74031358,0.95876707,0.04040688
0.28898141,0.88833408,0.77159183,0.92956026,0.05178533
0.26379038,0.67944682,0.77291623,0.97111235,0.04315511
0.33444413,0.65628102,0.74338892,0.93691981,0.05381737
0.30908099,0.71135860,0.69795450,0.93499342,0.05804189
0.38979011,0.78637446,0.74148302,1.00469760,0.05110679
0.28111144,0.85121393,0.71811856,1.00938978,0.04943821
0.37147381,0.86892053,0.68352192,0.97934105,0.05733770
0.31458855,0.82233350,0.61564550,0.99155361,0.04011409
0.29401360,0.75609249,0.78855046,0.99871976,0.05577555
0.23802322,0.73829119,0.75418577,0.93420183,0.04992312
0.28158405,0.78843474,0.60474447,0.94906271,0.04251658
0.34874325,0.86201312,0.65986793,0.94725879,0.05236191
0.28298520,0.73636363,0.72851172,0.97680641,0.05013635
0.30247226,0.84044497,0.78462141,0.98221684,0.04754815
0.35763682,0.69769970,0.60098474,0.95381327,0.04717019
0.26581950,0.74393624,0.79535844,1.00506035,0.05546877
0.26630155,0.82123957,0.68330856,1.00701962,0.04282652
0.37704872,0.89550676,0.78850302,0.99941175,0.05053898
0.24622969,0.66090076,0.74370534,0.94456668,0.04052965
0.26052827,0.75766340,0.71368115,1.00005739,0.04179557
0.31534239,0.83196554,0.72708297,0.92111382,0.05249476
0.36646025,0.66704355,0.71976614,0.94984411,0.04532970
0.35991250,0.87673315,0.68881321,1.00278136,0.05752905
0.33105219,0.67376787,0.62047330,0.96806139,0.05755496
0.23860467,0.69743884,0.77874094,0.94614814,0.05838577
0.31141495,0.73711277,0.77455717,0.94589163,0.05239462
0.28377019,0.76219284,0.72683720,0.96689503,0.05013917
0.31769413,0.71806801,0.75305936,0.95439247,0.05625525
0.26497493,0.89557228,0.65559972,0.98313277,0.04114509
0.32725030,0.70132974,0.61275244,0.92964323,0.04318881
0.37854563,0.75288712,0.64599310,0.94027321,0.05589580
0.34259469,0.70990144,0.79359955,0.99475759,0.04079447
0.35817516,0.72098031,0.68224735,0.96892464,0.05875404
0.39908128,0.78251388,0.71382906,0.94792568,0.05442333
0.27498221,0.66902459,0.68633095,0.98541342,0.05040135
0.32223384,0.86640055,0.76959050,0.98953282,0.05673990
0.23916393,0.81486835,0.77746992,0.92200618,0.04649115
0.27231419,0.87643744,0.69390058,0.92686467,0.05960099
0.23523839,0.68921379,0.61897441,0.99172230,0.04657122
0.23736898,0.65335059,0.67517627,0.97299829,0.04383394
0.39514834,0.82684500,0.69048640,0.92970037,0.05102265
0.32060552,0.67739112,0.64423302,1.00715855,0.05837107
0.29547786,0.75252868,0.79940856,0.95906708,0.05487220
0.36159117,0.84839903,0.74933011,0.98102788,0.05566552
0.28020530,0.85684673,0.73020386,0.92030657,0.04316879
0.39677492,0.81035716,0.67378014,1.00558693,0.04633967
0.33882517,0.69781167,0.72165644,0.97415648,0.04919797
0.23175223,0.76061839,0.71423921,0.97559203,0.04441352
0.36534934,0.80044918,0.73997441,0.92661326,0.04994324
0.25683645,0.66956652,0.72307344,0.95291219,0.04947995
0.23978856,0.79870608,0.77224018,0.98764464,0.05926899
0.27050196,0.75179214,0.61380452,1.00298212,0.04910631
0.34582278,0.73331414,0.68570466,0.96905174,0.04397138
0.31680320,0.89729764,0.78188011,0.93435707,0.04448581
0.35283084,0.85509915,0.73174460,0.92458281,0.04730080
0.36821243,0.67354755,0.78721448,0.98012527,0.04062192
0.39606538,0.82361837,0.63535215,0.94890417,0.04337424
0.32369940,0.69460266,0.76517148,0.96923605,0.05502699
0.24757090,0.80904357,0.69232995,0.95767263,0.05726730
0.32981438,0.75341466,0.66232352,0.96102869,0.05445206
0.36503466,0.81290081,0.69210324,0.97226172,0.05391895
0.32212011,0.72267954,0.74100832,0.98570663,0.05018214
0.35272104,0.86611090,0.71298558,0.97912947,0.04677480
0.33635513,0.83464831,0.74764976,0.96320667,0.04412067
0.37240698,0.73022657,0.70358211,1.00521033,0.05216135
0.35216901,0.78380705,0.62979115,0.97610459,0.05746179
0.31117500,0.67518862,0.78270255,0.93816666,0.04878416
0.37777951,0.69987215,0.69536141,0.93831547,0.05632537
0.27874996,0.68803869,0.69489168,1.00026929,0.05415820
0.33984969,0.88150737,0.78891866,0.97953465,0.04699269
0.23784824,0.72758361,0.71149812,1.00991045,0.04469050
0.31114310,0.77257159,0.61467360,0.99892668,0.04719493
0.28385095,0.74787348,0.77289262,0.95482771,0.05958923
0.26780465,0.87516845,0.60276746,0.93889651,0.05517731
0.32818292,0.81835570,0.72687242,1.00370371,0.05331007
0.31817013,0.67800226,0.60294413,0.93304047,0.05626914
0.34278313,0.87837533,0.74945083,0.96068816,0.05974888
0.26802685,0.81240621,0.69880985,0.93398849,0.05802826
0.34759531,0.68248469,0.63800491,0.98624142,0.04828826
0.33466838,0.78586110,0.66677567,0.97224626,0.04220070
0.35375286,0.86879530,0.64371322,0.96934967,0.04988759
0.29345941,0.71595280,0.69290472,0.98831720,0.05064942
0.37431347,0.83560730,0.73160779,0.94308223,0.04028540
0.29577233,0.67348179,0.74995914,0.99226096,0.05688854
0.26658487,0.67338109,0.61085057,0.98737863,0.04778913
0.28237148,0.66773696,0.62211138,0.97568662,0.05363420
0.37900508,0.85844803,0.75695231,1.00523737,0.05195330
0.34578211,0.83954564,0.72526472,0.96324053,0.04679416
