# omega_cold,sigma8_cold
0.24140055,0.68400786
0.24859295,0.71600128
0.28700242,0.72403798
0.36091142,0.65973661
0.24307557,0.71493369
0.27945633,0.79263668
0.33564424,0.84574280
0.38353151,0.87714494
0.25627019,0.86377848
0.28891975,0.76010964
0.29895038,0.89098186
0.29036556,0.80365160
0.32863166,0.77202603
0.34259438,0.86251016
0.26600970,0.89435512
0.29216992,0.81359367
0.29317897,0.81547262
0.24217853,0.78904572
0.24345440,0.87526069
0.29952208,0.73871193
0.26043401,0.87063002
0.37580063,0.77198501
0.31884317,0.74847201
0.27392601,0.71867281
0.34956682,0.85388953
0.36879184,0.69085822
0.27531633,0.75755254
0.31789404,0.77884324
0.27320781,0.68014214
0.27858332,0.81687131
0.36119009,0.81248905
0.35989048,0.67053176
0.35764360,0.65582660
0.39587273,0.84833802
0.33124560,0.83955033
0.27644880,0.88515122
0.29612799,0.73865374
0.35276317,0.78634695
0.23376400,0.79225785
0.37249379,0.68891364
0.34981897,0.66819262
0.28289620,0.88946394
0.32619787,0.83950204
0.23872472,0.74449724
0.24354905,0.73770302
0.26202317,0.80455408
0.24092919,0.87927502
0.35296668,0.65093375
0.23268446,0.72732757
0.25415651,0.65824398
0.34337057,0.81848058
0.37402063,0.80982723
0.35730184,0.69344910
0.37213691,0.87994871
0.38033770,0.77835496
0.26260194,0.78927876
0.29784603,0.72327998
0.24370323,0.71078070
0.28603713,0.66285405
0.39172032,0.75044496
0.38417088,0.66563739
0.32765233,0.84718425
0.30572053,0.81957112
0.33448651,0.73759517
0.25314940,0.73165725
0.24428034,0.77760971
0.23594907,0.73733459
0.34578628,0.68927790
0.33059394,0.70942067
0.28132144,0.78212041
0.30060134,0.85856354
0.30660567,0.71283409
0.29351927,0.70689637
0.28474092,0.65079247
0.23483517,0.81295751
0.34657496,0.79182649
0.31382448,0.85091229
0.34085013,0.77583815
0.38872697,0.75912165
0.35684927,0.77106738
0.25771973,0.83548473
0.31051821,0.65421470
0.33551205,0.74296956
0.35111500,0.70381707
0.37186439,0.88713954
0.32845594,0.89894436
0.38802227,0.87656086
0.38137307,0.77358380
0.30934491,0.88909209
0.34162561,0.84008627
0.38994567,0.81568435
0.30288987,0.72283718
0.24200648,0.71062784
0.25881634,0.75388741
0.25623916,0.76270500
0.25265565,0.77475407
0.27932560,0.86374710
0.31669877,0.76950395
0.34284506,0.87896798
0.31025132,0.78067068
0.39333066,0.71540643
0.38350975,0.72890432
0.36957244,0.79676569
0.31611939,0.89035998
0.35800797,0.81586588
0.29332571,0.75607511
0.37987587,0.88684223
0.25791931,0.72498236
0.27623341,0.79543398
0.38085782,0.66606977
0.33018907,0.69172091
0.39642718,0.67660409
0.27744718,0.87496110
0.29907374,0.85527524
0.24516159,0.70873879
0.24056733,0.72254800
0.39689316,0.85916416
0.24607402,0.89034623
0.23744292,0.88777732
0.37779724,0.75491918
0.30063003,0.85016275
0.39849403,0.89146267
0.27164857,0.79551891
0.38242466,0.71735906
0.33188696,0.69395824
0.35968003,0.67657355
0.25950577,0.65498651
0.37791125,0.84507889
0.33777180,0.88470578
0.31617552,0.76243738
0.37934654,0.85126032
0.37764755,0.77479149
0.33831552,0.79198671
0.24951422,0.89384004
0.39309941,0.77580923
0.24145498,0.80684153
0.24164174,0.74482438
0.26593923,0.69141379
0.26572877,0.67688504
0.29308688,0.84889305
0.38676205,0.76265916
0.28032031,0.88200949
0.37139788,0.82603096
0.33635364,0.71458198
0.32666263,0.69510545
0.36545826,0.77749715
0.36719455,0.77863900
0.26917560,0.80043365
0.24339651,0.68322539
0.37298210,0.70583166
0.29004825,0.78516634
0.33483689,0.69072398
0.24768379,0.84858776
0.39228225,0.84618838
0.37563938,0.77701471
0.32649551,0.89554788
0.37687056,0.82085495
0.32328028,0.78612944
0.28164537,0.83169068
0.37502617,0.89579727
0.23275952,0.84890717
0.38276585,0.68362836
0.29372043,0.77177998
0.24983817,0.79761914
0.33397843,0.78335355
0.28264892,0.87481213
0.38832649,0.78092426
0.35970318,0.75882761
0.29552358,0.82809406
0.34006050,0.67131630
0.31195949,0.89501753
0.23634796,0.81454008
0.38136333,0.78722784
0.25886281,0.70062288
0.24279519,0.75660706
0.37511527,0.76085003
0.33364396,0.85868980
0.24789867,0.69853563
0.39568204,0.89008248
0.35983588,0.79419019
0.26325344,0.77591258
0.37873072,0.87359087
0.29923986,0.73221995
0.27272070,0.68548867
0.35203221,0.89906642
0.35662585,0.86560102
0.39981722,0.78261148
0.27541916,0.72322758
0.33153700,0.87039187
0.37412755,0.73086176
0.32171938,0.74566023
0.27474989,0.76351752
0.31977290,0.88559194
0.29330536,0.67770314
0.34178718,0.88446096
0.35702754,0.69113040
0.35137255,0.89348809
0.23833009,0.83085814
0.24625515,0.87302744
0.35524261,0.87597037
0.39548544,0.71422245
0.37037490,0.72035112
0.29938528,0.83321418
0.33964939,0.77427601
0.36261525,0.73902397
0.34433782,0.82529836
0.33170326,0.79011210
0.33474869,0.70267373
0.31083310,0.87606539
0.35814497,0.67758255
0.38308148,0.78204245
0.36198130,0.79316458
0.33482197,0.80844720
0.28307633,0.81932497
0.38899236,0.86761276
0.35202034,0.70686422
0.33871873,0.79040397
0.32919057,0.85141694
0.28363088,0.83941300
0.38778238,0.68829429
0.23631838,0.65502674
0.30578517,0.65781348
0.27007390,0.75839624
0.25141919,0.79244654
0.35122838,0.71362477
0.23859880,0.68102422
0.26863912,0.76050950
0.34190689,0.70306077
0.30086297,0.67425376
0.26459492,0.83172867
0.28726247,0.78682093
0.32221186,0.85137861
0.30499968,0.88990203
0.25061327,0.76630991
0.26578526,0.79786596
0.32615518,0.75144204
0.30935941,0.74780998
0.39797332,0.83673965
0.39892360,0.75319805
0.39454249,0.89681634
0.38247268,0.68737086
0.35206467,0.81900730
0.23864044,0.82191707
0.24713787,0.84026015
0.34875986,0.80154641
0.37440322,0.66117068
0.31740538,0.66452521
0.29023093,0.77579959
0.29818712,0.69101038
0.35222784,0.73637757
0.33130503,0.73083659
0.31512543,0.80861817
0.36902514,0.81131014
0.34338499,0.65898341
0.28217578,0.80644955
0.28576687,0.80779422
0.39303214,0.68574366
0.23678962,0.69781116
0.29301227,0.79493306
0.25625266,0.77756083
0.24219311,0.75017541
0.32109587,0.87346214
0.38765779,0.72235510
0.23985116,0.75816480
0.36270040,0.75395276
0.38102128,0.67868294
0.32140646,0.88667596
0.36735697,0.66614501
0.31342140,0.78247719
0.23144139,0.77641325
0.24353653,0.65107804
0.32767556,0.66371207
0.25346439,0.71878172
0.34947969,0.73703575
0.32679622,0.77077740
0.29676129,0.67538005
0.24660730,0.68639489
0.27425536,0.70169942
0.24239335,0.84139057
0.35405377,0.71652781
0.33665129,0.71684202
0.31376565,0.83341048
0.39873504,0.88428496
0.25104710,0.89176331
0.33949366,0.81204057
0.29911530,0.89932172
0.27210623,0.72238289
0.36155723,0.78882613
0.37026286,0.87642253
0.31129819,0.70017797
0.27686427,0.80501995
0.36572484,0.68436195
0.28434104,0.65291851
0.36962023,0.81566296
0.24079569,0.80808369
0.26902358,0.72137223
0.35047471,0.88979263
0.28748100,0.83597808
0.24946667,0.76272539
0.24632030,0.74490118
0.26440678,0.89419656
0.30374082,0.66781118
0.36822535,0.77537886
0.34951652,0.82893644
0.33458119,0.66471867
0.28473727,0.84427870
0.24204307,0.71813162
0.25828297,0.89711572
0.23585812,0.65438100
0.38740687,0.74509483
0.28327899,0.83279698
0.23268777,0.69979749
0.39766650,0.69630384
0.29962895,0.74386466
0.30781835,0.84339387
0.26065593,0.88325372
0.27404913,0.68054152
0.25972398,0.76586879
0.28249184,0.81777097
0.25764302,0.72570280
0.26487078,0.84813706
0.23905266,0.70088676
0.33078388,0.69628914
0.26341976,0.74032186
0.36156381,0.68391295
0.30396780,0.78409591
0.38125657,0.78401981
0.26467570,0.79594925
0.35761698,0.89392708
0.31242753,0.83588480
0.33022409,0.84341499
0.24546096,0.75182032
0.28912619,0.87795454
0.38315739,0.78086328
0.28470340,0.74610198
0.39628820,0.80172375
0.31276718,0.88263014
0.33200641,0.89643123
0.31462951,0.73076970
0.31452530,0.87676405
0.36264014,0.86317494
0.38357811,0.66124298
0.26410094,0.81911354
0.23768181,0.73849619
0.36799525,0.83646518
0.31172033,0.72769202
0.32882565,0.68901347
0.23396678,0.79486001
0.29965796,0.76897625
0.28590717,0.77834557
0.31667147,0.88255385
0.30587032,0.65886376
0.33813883,0.84900626
0.37948114,0.79471171
0.34497678,0.81431744
0.38039989,0.80781584
0.24416545,0.82636492
0.30349845,0.76260701
0.33228035,0.81620232
0.32668887,0.84015882
0.26407918,0.70496480
0.39895552,0.83442185
0.36409444,0.77860831
0.36665186,0.71570843
0.35641166,0.87131684
0.33034764,0.85750555
0.23059737,0.68076883
0.38516465,0.86964677
0.33359332,0.80492153
0.32971718,0.87693313
0.31217952,0.89766994
0.33749878,0.69910747
0.28049080,0.82660975
0.36531566,0.73495936
0.30224455,0.66072560
0.37532621,0.89265786
0.26906561,0.71456500
0.39004012,0.66828474
0.32369645,0.67365160
0.29849548,0.70131694
0.28678774,0.83001275
0.35641825,0.69684165
0.38806185,0.87375218
0.25460029,0.75430392
0.26697537,0.79158138
0.36416800,0.70090594
0.39859783,0.71126359
0.23215492,0.69263388
0.36431208,0.86141855
0.38786904,0.79648975
0.37281328,0.74017960
0.38750737,0.87092081
0.31263687,0.67526660
0.31398344,0.78475402
0.30862265,0.83788064
0.34819903,0.67646525
0.30495302,0.80952019
0.27565938,0.86996443
0.31099447,0.73655168
0.29225433,0.80037326
0.34972865,0.81595523
0.31409440,0.65507788
0.26976872,0.69259720
0.31556385,0.67572059
0.27738880,0.65181120
0.28337149,0.66793285
0.27726590,0.72070020
0.29672501,0.80463709
0.36519938,0.86268180
0.23370640,0.73839204
0.24578516,0.81173938
0.31018813,0.71720819
0.24522599,0.74405531
0.25500985,0.76007947
0.28372992,0.79344196
0.28209227,0.79745497
0.36633165,0.70737767
0.29704555,0.72572802
0.33051937,0.66367116
0.34538692,0.71377331
0.30678810,0.86504999
0.34127458,0.89658063
0.38192841,0.75328369
0.24802301,0.83007080
0.24116650,0.76557848
0.30221901,0.88196153
0.30866207,0.75622268
0.32867829,0.71830656
0.31938162,0.82550619
0.39458543,0.65158124
0.29467710,0.68644080
0.34845227,0.67046979
0.39500622,0.82857203
0.24189854,0.88022059
0.37279702,0.76887942
0.34132623,0.86722524
0.35384267,0.67873366
0.35997437,0.82589018
0.29781512,0.81375061
0.30464916,0.81457019
0.23378725,0.82903360
0.32410709,0.67225663
0.38091637,0.70613623
0.33643991,0.72455724
0.30719655,0.74724876
0.31597577,0.69731285
0.27677958,0.73198953
0.28714112,0.75495433
0.27825346,0.68464037
0.37551540,0.65936195
0.25466165,0.78576090
0.25127250,0.84964835
0.24980498,0.71756969
0.38194779,0.83298384
0.32482308,0.72197774
0.32747001,0.80586310
0.37757810,0.87507351
0.24461634,0.83351036
0.39669868,0.67010801
0.26817836,0.65634752
0.24176048,0.89366443
0.24998901,0.81137163
0.25138838,0.85174199
0.32573787,0.73159862
0.31227392,0.78374338
0.30300462,0.69554487
0.33383790,0.72382676
0.37403930,0.74049731
0.24062304,0.89650951
0.38099193,0.86015369
0.37979118,0.78517950
0.27844106,0.68920008
0.34255625,0.66343997
0.37644949,0.79532628
0.31779519,0.81720485
0.38673710,0.83742553
0.23855952,0.82748766
0.34235349,0.66386548
0.38001824,0.86803538
0.38257282,0.89951697
0.30748272,0.68909742
0.28322928,0.86086027
0.38049490,0.74321478
0.34217566,0.67933417
0.27401424,0.78187668
0.37435734,0.88581677
0.33245133,0.79768580
0.28660215,0.89210853
0.35016358,0.69386698
0.32114812,0.68276554
0.35737939,0.66857085
0.32102271,0.70141527
0.25308235,0.70636093
0.35337316,0.70254356
0.28826194,0.67242681
0.30368484,0.71643328
0.36344911,0.83180136
0.30275333,0.68260190
0.38157916,0.71772488
0.32298934,0.73890799
0.28304743,0.74227434
0.23979636,0.83512870
0.37520556,0.70036336
0.34512391,0.76430533
0.23104838,0.71115303
0.32512566,0.68781087
0.24262640,0.74797099
0.35242083,0.73681259
0.32428988,0.68122586
0.30160462,0.84575361
0.31280381,0.79908514
0.26577007,0.75549064
0.25238728,0.67742973
0.26037081,0.73708589
0.30039730,0.68955982
0.34339978,0.70849075
0.31400690,0.86119704
0.27314949,0.79972906
0.25185717,0.83536741
0.27923414,0.77457440
0.26897215,0.82138841
0.31301627,0.70109592
0.27454564,0.71921558
0.39810248,0.83737400
0.34355215,0.76538694
0.23201936,0.86372151
0.27445180,0.68064140
0.29203135,0.86830132
0.32391812,0.85080478
0.28972143,0.80419798
0.33387592,0.78307821
0.37044322,0.86631427
0.37739967,0.70374910
0.31138691,0.72977516
0.38113070,0.68264899
0.32180500,0.80679246
0.35452665,0.87407387
0.26947509,0.78262906
0.34908300,0.70454850
0.25546881,0.70864611
0.23566891,0.71912711
0.31767635,0.68774007
0.35115143,0.83534842
0.37285153,0.68239223
0.33288078,0.78521785
0.29381861,0.68454764
0.33349826,0.76155730
0.26383289,0.84050060
0.29769668,0.78332642
0.30309784,0.77038011
0.23271072,0.86756141
0.23493172,0.84047570
0.23780802,0.77656293
0.35623424,0.85524034
0.23509385,0.76614021
0.24869847,0.73359806
0.32567974,0.65561385
0.37705118,0.78070969
0.25803240,0.82297106
0.28368250,0.88835061
0.35246428,0.77908711
0.30765708,0.89270057
0.29128098,0.74554877
0.30542639,0.87134842
0.29177468,0.65683579
0.36635849,0.88161157
0.39392036,0.84359495
0.27085439,0.86120956
0.31131331,0.68680128
0.31246109,0.87724774
0.23871716,0.80526405
0.28718892,0.66509054
0.27365990,0.73813649
0.37665589,0.83234198
0.26176190,0.69318318
0.33846961,0.74774428
0.32800973,0.83257078
0.30320308,0.67017030
0.23611818,0.71506256
0.36563417,0.74523730
0.37852158,0.68762513
0.38814273,0.67763805
0.37535983,0.73907333
0.37144692,0.83666930
0.34655816,0.76677373
0.26121232,0.87836327
0.37720476,0.67238811
0.33113197,0.83700444
0.31944298,0.87870546
0.27618172,0.75825905
0.33356644,0.77935922
0.28429209,0.79100844
0.39148858,0.88455099
0.29175469,0.78288937
0.25880119,0.87786236
0.26803348,0.77996351
0.37789634,0.85618137
0.39108977,0.77799504
0.39592634,0.71108132
0.27149879,0.80219319
0.26389612,0.83757610
0.38772337,0.89002006
0.27570805,0.85351177
0.35401699,0.80763099
0.26582396,0.88102062
0.33770592,0.82401304
0.39117449,0.83561816
0.38058076,0.77967182
0.35694665,0.86928237
0.39466081,0.75041297
0.36285870,0.72055630
0.38409114,0.69543879
0.33319305,0.88151898
0.34377487,0.81104559
0.24575105,0.86319020
0.23936290,0.75420621
0.30882366,0.69309318
0.35102077,0.66673903
0.25505285,0.76314077
0.38840199,0.69158092
0.31517119,0.89108755
0.29710507,0.86980332
0.30537802,0.68135966
0.26299887,0.88672728
0.39349255,0.86656348
0.29470062,0.88572460
0.28320189,0.67211264
0.36194707,0.68043580
0.31465061,0.87107908
0.33150515,0.81601937
0.25552052,0.84412880
0.36970609,0.65340318
0.31056487,0.89476714
0.34523617,0.86409330
0.26553669,0.84570153
0.30323014,0.74691107
0.34289196,0.86822076
0.24907068,0.72972355
0.24220686,0.82548993
0.23542582,0.89005797
0.39941874,0.65269561
0.35255620,0.68004338
0.29660747,0.84162150
0.24420048,0.86357964
0.30064800,0.70999309
0.29335960,0.75231839
0.25924969,0.66666419
0.28288270,0.67170561
0.31000588,0.78014054
0.37159580,0.73121967
0.37738993,0.65613572
0.36120610,0.66162403
0.33968046,0.88653703
0.28975823,0.67467277
0.35183228,0.79048132
0.29199268,0.74974528
0.35724168,0.73348975
0.30215685,0.79742845
0.37066408,0.72805774
0.23530429,0.87011470
0.35014914,0.80695192
0.26464182,0.75345675
0.26471817,0.73897256
0.26324404,0.69434499
0.32740685,0.76478840
0.24493808,0.65055510
0.28321157,0.67612993
0.32811948,0.67479315
0.34029167,0.75214662
0.35129596,0.68073995
0.27365218,0.86215383
0.36748921,0.75682412
0.39758325,0.85678402
0.29149269,0.70339473
0.23907940,0.75475373
0.24050858,0.81544431
0.33174414,0.65177831
0.33165480,0.86620953
0.28916408,0.79074679
0.26177673,0.89170154
0.35048362,0.82201397
0.31027610,0.78501181
0.25203634,0.71725449
0.27043026,0.74576780
0.26007100,0.75914404
0.28177345,0.70423737
0.24039410,0.74066512
0.35349162,0.70492717
0.32014681,0.89395659
0.32709247,0.84468692
0.34751779,0.85413012
0.31013867,0.72315695
0.34039940,0.79967540
0.33617602,0.75993404
0.23850894,0.78977533
0.27163141,0.70981469
0.38193112,0.75079290
0.28511761,0.71919043
0.34090834,0.80915291
0.35654288,0.89048075
0.29964327,0.85850984
0.36699181,0.79360426
0.28334558,0.88081950
0.27241990,0.73976091
0.27740457,0.69572362
0.31633708,0.72750337
0.27894247,0.84974009
0.38623093,0.72852373
0.35551526,0.74764356
0.26498827,0.71195635
0.26595694,0.70319460
0.24617497,0.84353052
0.23835982,0.78094423
0.37589354,0.79612604
0.37980893,0.84753411
0.34099735,0.76971171
0.25989491,0.80458876
0.33215911,0.71049496
0.26180890,0.76705471
0.35093206,0.73731053
0.23154460,0.83915069
0.30529465,0.71470195
0.27410935,0.73322077
0.37495540,0.73074775
0.31438596,0.65707322
0.39573317,0.84302315
0.30202675,0.83355432
0.35466814,0.66315564
0.23323627,0.88507795
0.34215515,0.83886195
0.30990488,0.67836382
0.35236012,0.80321331
0.35530411,0.79688009
0.33369557,0.75982116
0.28793181,0.69402895
0.26877139,0.65998285
0.29801944,0.77052306
0.32843399,0.66956731
0.28900332,0.73140778
0.34602653,0.69416762
0.35879933,0.81414275
0.37549358,0.81845945
0.32484962,0.83250941
0.32303870,0.89183266
0.36439053,0.88843294
0.24353074,0.82466383
0.35893805,0.86717283
0.26309522,0.66553898
0.23243537,0.83806907
0.30847489,0.85223636
0.33186807,0.76306319
0.26212151,0.89958451
0.30594022,0.68591270
0.32542901,0.72690995
0.28012046,0.84182320
0.25170023,0.79483796
0.23372433,0.86698766
0.34363704,0.71060095
0.31047034,0.69627048
0.29522531,0.76014762
0.26398299,0.72588920
0.37299092,0.71010666
0.30779145,0.85713575
0.33310238,0.68767647
0.38141615,0.65518433
0.25206045,0.84633396
0.26525099,0.73670601
0.29408608,0.74477736
0.35735550,0.84983110
0.23913155,0.85060003
0.32793319,0.89524283
0.28070674,0.68379343
0.39963310,0.73875016
0.29375017,0.81071183
0.28398114,0.79007850
0.28331314,0.84271990
0.36442701,0.89852918
0.34632585,0.75766400
0.26894724,0.80517537
0.29470360,0.70525504
0.30430242,0.78324198
0.28998370,0.71221098
0.32901641,0.75800908
0.27575706,0.66940627
0.25981233,0.81676673
0.27613584,0.67849528
0.35700954,0.74191384
0.39006813,0.66413102
0.32143358,0.86334947
0.27342962,0.65957057
0.25533585,0.87551812
0.28599690,0.81869863
0.32360911,0.76649946
0.38708257,0.71384612
0.28925169,0.87631388
0.24741747,0.76544821
0.37681535,0.69167767
0.33890181,0.68917053
0.36202363,0.85518626
0.26462645,0.86691993
0.29737678,0.87370688
0.23830281,0.66700117
0.32655160,0.73969249
0.38928189,0.78679101
0.31683218,0.86332385
0.34107201,0.78645721
0.30762169,0.80233902
0.39369905,0.74465974
0.27704280,0.75662974
0.34529890,0.69504743
0.28440892,0.89975991
0.34755083,0.77904894
0.32125220,0.89221363
0.24711196,0.85227058
0.38118398,0.71757686
0.29347458,0.88650176
0.32377170,0.81635188
0.38228682,0.75759970
0.24081603,0.84682574
0.38556860,0.88762573
0.29425064,0.73032305
0.39289655,0.82368465
0.26715155,0.76591457
0.33579828,0.69322116
0.37698642,0.71182312
0.35588959,0.84875378
0.37964297,0.65391225
0.39091669,0.87255076
0.34194954,0.68994078
0.31108703,0.77801951
0.39912511,0.84655144
0.31185952,0.66216962
0.39454539,0.68099054
0.36474452,0.75349396
0.27220048,0.86767683
0.26265262,0.86943268
0.32236122,0.83424624
0.35675050,0.84830815
0.27110022,0.80052322
0.30582892,0.67025616
0.26209115,0.86229162
0.37431562,0.85181200
0.36573067,0.85513884
0.39326880,0.77845873
0.36276803,0.87310287
0.37182268,0.89669646
0.36106740,0.89268281
0.34439219,0.88521784
0.35606962,0.74271397
0.37785896,0.67118695
0.27448425,0.80702420
0.29166556,0.68314066
0.27653493,0.76309728
0.28586177,0.66094379
0.29260324,0.68601515
0.36897822,0.76756555
0.27696198,0.78051016
0.32934763,0.72503712
0.37928814,0.89168947
0.37874830,0.85133043
0.36348498,0.70654944
0.29669778,0.66033090
0.25007216,0.87673031
0.38910925,0.66040177
0.27357132,0.78559894
0.28648344,0.87563633
0.27528551,0.73004159
0.36722421,0.70367459
0.34628931,0.87867893
0.24238749,0.66778801
0.32929737,0.87983813
0.26192377,0.79792371
0.35515493,0.76516835
0.37000343,0.71592273
0.39018380,0.81495175
0.36044946,0.66130072
0.23722060,0.85673739
0.25193239,0.84326379
0.23664225,0.85667861
0.33270737,0.67581173
0.25153940,0.72529534
0.30017088,0.66397422
0.24833634,0.88164500
0.37506644,0.68752047
0.38536853,0.84559341
0.37581996,0.70699128
0.27177382,0.76326334
0.32864486,0.65115368
0.32066828,0.88184465
0.32574570,0.80516643
0.32108534,0.77336263
0.30445789,0.88736904
0.28833130,0.74642173
0.28195528,0.89772658
0.24557869,0.79923224
0.34871587,0.88415018
0.35205419,0.76279593
0.32894817,0.88406167
0.32813798,0.65395967
0.30332076,0.83385181
0.37131650,0.76142401
0.27304216,0.67674399
0.25685534,0.84432418
0.26336625,0.77682018
0.24005756,0.88861537
0.28038224,0.77586680
0.27022047,0.78484937
0.37470056,0.70123108
0.35699016,0.80240179
0.29719243,0.67073670
0.29192565,0.81125565
0.25796900,0.66022889
0.27290978,0.73486414
0.25332796,0.75355484
0.32674176,0.76532677
0.39226340,0.87420014
0.24999591,0.78942267
0.32148284,0.69207415
0.23505291,0.80565502
0.26492476,0.81905358
0.26670134,0.65659310
0.31631896,0.85079894
0.31968438,0.74374337
0.31305532,0.69738937
0.34041705,0.77644324
0.37813981,0.69623935
0.36956443,0.71226244
0.30015190,0.88731857
0.30072845,0.66647120
0.26297402,0.84378586
0.32956197,0.66720440
0.39516764,0.69545076
0.35695966,0.71105081
0.30361275,0.79642145
0.29556005,0.82634575
0.33009909,0.88378540
0.37910252,0.81210176
0.25571904,0.83056090
0.27580274,0.80047353
0.29054384,0.86575460
0.32139085,0.80561219
0.32837460,0.83113343
0.38201198,0.84182657
0.36686879,0.74152035
0.30028950,0.75466031
0.24554279,0.69686393
0.37091034,0.80122240
0.39027600,0.74588862
0.29698217,0.87561294
0.25550132,0.70387281
0.31487906,0.86532676
0.25696289,0.79861713
0.36453196,0.65661369
0.34895893,0.69799525
0.27605473,0.69394367
0.24295901,0.79069832
0.27549134,0.88435866
0.30011924,0.82943361
0.36246240,0.70070125
0.36549428,0.66602809
0.28506068,0.85584200
0.35786774,0.66556157
0.31213895,0.78244848
0.26457173,0.76124364
0.28231944,0.75377008
0.25037855,0.82410933
0.24257340,0.78296637
0.36840492,0.84763070
0.29236656,0.70241031
0.38772657,0.66341195
0.26129853,0.87988016
0.38094200,0.67756427
0.29620313,0.76402533
0.34460621,0.65302268
0.32850545,0.78474684
0.38739022,0.65653731
0.39158970,0.68922827
0.33297531,0.87858469
0.26762517,0.88285394
0.26966323,0.82424909
0.37552754,0.71744459
0.36853537,0.71380879
0.34615386,0.84947030
0.23179624,0.73548241
0.34911553,0.79884766
0.31751790,0.71463089
0.31892360,0.88679269
0.31520447,0.88315730
0.37216062,0.65311731
0.23149091,0.77312401
0.39657062,0.85949892
0.37325892,0.70925676
0.31620787,0.74835609
0.35558798,0.86978785
0.27325759,0.76709188
0.26859813,0.88548922
0.32549583,0.65247755
0.28390708,0.81047303
0.36597646,0.75459548
0.27339501,0.88911781
0.28395503,0.73243090
0.34423156,0.67980202
0.26700845,0.76034833
0.31659114,0.79202299
0.36364953,0.74560035
0.25279345,0.87044505
